"Value,N,10,0","ISOCODE,C,5","NAME0,C,100"
4,AFG,Afghanistan
8,ALB,Albania
12,DZA,Algeria
16,ASM,American Samoa
20,AND,Andorra
24,AGO,Angola
28,ATG,Antigua and Barbuda
31,AZE,Azerbaijan
32,ARG,Argentina
36,AUS,Australia
40,AUT,Austria
44,BHS,Bahamas
48,BHR,Bahrain
50,BGD,Bangladesh
51,ARM,Armenia
52,BRB,Barbados
56,BEL,Belgium
60,BMU,Bermuda
64,BTN,Bhutan
68,BOL,Bolivia (Plurinational State of)
70,BIH,Bosnia and Herzegovina
72,BWA,Botswana
76,BRA,Brazil
84,BLZ,Belize
90,SLB,Solomon Islands
92,VGB,British Virgin Islands
96,BRN,Brunei Darussalam
100,BGR,Bulgaria
104,MMR,Myanmar
108,BDI,Burundi
112,BLR,Belarus
116,KHM,Cambodia
120,CMR,Cameroon
124,CAN,Canada
132,CPV,Cape Verde
136,CYM,Cayman Islands
140,CAF,Central African Republic
144,LKA,Sri Lanka
148,TCD,Chad
152,CHL,Chile
156,CHN,China
158,TWN,Taiwan
170,COL,Colombia
174,COM,Comoros
175,MYT,Mayotte
178,COG,Congo
180,COD,Democratic Republic of the Congo
184,COK,Cook Islands
188,CRI,Costa Rica
191,HRV,Croatia
192,CUB,Cuba
196,CYP,Cyprus
203,CZE,Czech Republic
204,BEN,Benin
208,DNK,Denmark
212,DMA,Dominica
214,DOM,Dominican Republic
218,ECU,Ecuador
222,SLV,El Salvador
226,GNQ,Equatorial Guinea
231,ETH,Ethiopia
232,ERI,Eritrea
233,EST,Estonia
234,FRO,Faeroe Islands
238,FLK,Falkland Islands (Malvinas)
242,FJI,Fiji
246,FIN,Finland
248,ALA,Aland Islands
250,FRA,France
254,GUF,French Guiana
258,PYF,French Polynesia
262,DJI,Djibouti
266,GAB,Gabon
268,GEO,Georgia
270,GMB,Gambia
275,PSE,State of Palestine
276,DEU,Germany
288,GHA,Ghana
292,GIB,Gibraltar
296,KIR,Kiribati
300,GRC,Greece
304,GRL,Greenland
308,GRD,Grenada
312,GLP,Guadeloupe
316,GUM,Guam
320,GTM,Guatemala
324,GIN,Guinea
328,GUY,Guyana
332,HTI,Haiti
340,HND,Honduras
344,HKG,China Hong Kong Special Administrative Region
348,HUN,Hungary
352,ISL,Iceland
356,IND,India
360,IDN,Indonesia
364,IRN,Iran
368,IRQ,Iraq
372,IRL,Ireland
376,ISR,Israel
380,ITA,Italy
384,CIV,Cote d'Ivoire
388,JAM,Jamaica
392,JPN,Japan
398,KAZ,Kazakhstan
400,JOR,Jordan
404,KEN,Kenya
408,PRK,Democratic People's Republic of Korea
410,KOR,South Korea
414,KWT,Kuwait
417,KGZ,Kyrgyzstan
418,LAO,Lao People's Democratic Republic
422,LBN,Lebanon
426,LSO,Lesotho
428,LVA,Latvia
430,LBR,Liberia
434,LBY,Libya
438,LIE,Liechtenstein
440,LTU,Lithuania
442,LUX,Luxembourg
446,MAC,China Macao Special Administrative Region
450,MDG,Madagascar
454,MWI,Malawi
458,MYS,Malaysia
462,MDV,Maldives
466,MLI,Mali
470,MLT,Malta
474,MTQ,Martinique
478,MRT,Mauritania
480,MUS,Mauritius
484,MEX,Mexico
492,MCO,Monaco
496,MNG,Mongolia
498,MDA,Republic of Moldova
499,MNE,Montenegro
500,MSR,Montserrat
504,MAR,Morocco
508,MOZ,Mozambique
512,OMN,Oman
516,NAM,Namibia
520,NRU,Nauru
524,NPL,Nepal
528,NLD,Netherlands
531,CUW,Curacao
533,ABW,Aruba
534,SXM,Sint Maarten (Dutch part)
535,BES,Bonaire Saint Eustatius and Saba
540,NCL,New Caledonia
548,VUT,Vanuatu
554,NZL,New Zealand
558,NIC,Nicaragua
562,NER,Niger
566,NGA,Nigeria
570,NIU,Niue
574,NFK,Norfolk Island
578,NOR,Norway
580,MNP,Northern Mariana Islands
583,FSM,Micronesia (Federated States of)
584,MHL,Marshall Islands
585,PLW,Palau
586,PAK,Pakistan
591,PAN,Panama
598,PNG,Papua New Guinea
600,PRY,Paraguay
604,PER,Peru
608,PHL,Philippines
612,PCN,Pitcairn
616,POL,Poland
620,PRT,Portugal
624,GNB,Guinea-Bissau
626,TLS,Timor-Leste
630,PRI,Puerto Rico
634,QAT,Qatar
638,REU,Reunion
642,ROU,Romania
643,RUS,Russia
646,RWA,Rwanda
652,BLM,Saint-Barthelemy
654,SHN,Saint Helena
659,KNA,Saint Kitts and Nevis
660,AIA,Anguilla
662,LCA,Saint Lucia
663,MAF,Saint-Martin (French part)
666,SPM,Saint Pierre and Miquelon
670,VCT,Saint Vincent and the Grenadines
674,SMR,San Marino
678,STP,Sao Tome and Principe
682,SAU,Saudi Arabia
686,SEN,Senegal
688,SRB,Serbia
690,SYC,Seychelles
694,SLE,Sierra Leone
702,SGP,Singapore
703,SVK,Slovakia
704,VNM,Vietnam
705,SVN,Slovenia
706,SOM,Somalia
710,ZAF,South Africa
716,ZWE,Zimbabwe
724,ESP,Spain
728,SSD,South Sudan
729,SDN,Sudan
732,ESH,Western Sahara
740,SUR,Suriname
744,SJM,Svalbard and Jan Mayen Islands
748,SWZ,Swaziland
752,SWE,Sweden
756,CHE,Switzerland
760,SYR,Syrian Arab Republic
762,TJK,Tajikistan
764,THA,Thailand
768,TGO,Togo
772,TKL,Tokelau
776,TON,Tonga
780,TTO,Trinidad and Tobago
784,ARE,United Arab Emirates
788,TUN,Tunisia
792,TUR,Turkey
795,TKM,Turkmenistan
796,TCA,Turks and Caicos Islands
798,TUV,Tuvalu
800,UGA,Uganda
804,UKR,Ukraine
807,MKD,The former Yugoslav Republic of Macedonia
818,EGY,Egypt
826,GBR,United Kingdom
831,GGY,Guernsey
832,JEY,Jersey
833,IMN,Isle of Man
834,TZA,Tanzania
840,USA,United States
850,VIR,United States Virgin Islands
854,BFA,Burkina Faso
858,URY,Uruguay
860,UZB,Uzbekistan
862,VEN,Venezuela
876,WLF,Wallis and Futuna Islands
882,WSM,Western Samoa
887,YEM,Yemen
894,ZMB,Zambia
902,ATF,French Southern Territories
903,BVT,Bouvet Island
904,HMD,Heard Island and McDonald Islands
905,IOT,British Indian Ocean Territory
906,SGS,South Georgia and the South Sandwich Islands
907,SPR,Spratly Islands
908,UMI,United States Minor Outlying Islands
999,KOS,Kosovo
